ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
50352413,DE,IP-08_ZAW_0090_01-W0V-1,STELLANTIS,OPEL AUTOMOBILE,OPEL AUTOMOBILE GMBH,,E8*2007/46*0264*20,Z-B,DA094DB12,BH1ZAWCABA5,OPEL,INSIGNIA SPORTS TOURER,M1,M1,1,1615.0,1747.0,,134.0,2829.0,1605.0,1608.0,DIESEL,M,1995.0,128.0,,E8 29 28,,2.0,,,P,2021,2021-12-22,5.1,
50854197,DE,IP-MQB37WZ_A0_0377-TMB-1,VW-SAIC,SKODA,SKODA AUTO AS,,E8*2007/46*0355*07,NX,ACDLAAX0,NFM6FM6AJ0254BIVL0N1A1A,SKODA,OCTAVIA,M1,M1,1,1313.0,1424.0,,120.0,2667.0,1531.0,1535.0,PETROL,M,999.0,81.0,,E8 28 29,,1.7,,,P,2021,2021-07-29,5.3,
47138966,IT,IP-03_330_0276-ZFA-1,STELLANTIS,FIAT GROUP,FCA ITALY SPA,,E3*2001/116*0217*68,199,LYU1A,EB5,FIAT,FIAT 500L,M1,M1,1,1475.0,1572.0,,126.0,2612.0,,,DIESEL,M,1248.0,70.0,,,,0.8,,,P,2021,2021-07-28,,
612992,ES,,VW-SAIC,SKODA,SKODA AUTO AS,,E8*2007/46*0272*20,NU,ACDTTCX1,NAD7AD7GC0054BI16N3C1A7A,SKODA,KAROQ,M1,M1,1,1601.0,,,148.0,2629.0,1576.0,1547.0,DIESEL,M,1968.0,110.0,,E8 29,,,,,P,2021,2021-11-15,5.7,
51428624,DE,IP-PQ12ZZZ_A2_0503-WVW-1,VW-SAIC,VOLKSWAGEN,VOLKSWAGEN AG,,E13*2007/46*1167*33,AA,ABEBMA,FA1FA1CZ0020GAVR0N1EVW1B15O,"VOLKSWAGEN, VW",UP!,M1,M1,1,1248.0,1330.0,0.0,0.0,2417.0,1408.0,1412.0,ELECTRIC,E,,61.0,127.0,,,,,,P,2021,2021-12-10,,
57325571,NL,IP-MQB37SZ_B0_0567-TMB-1,VW-SAIC,SKODA,SKODA AUTO AS,,E8*2007/46*0272*21,NU,ACDPCAX0,NFD7FD7CW0024BI16N0V1B2B,SKODA,KAROQ,M1,M1,1,1411.0,1549.0,,149.0,2620.0,1570.0,1540.0,PETROL,M,1498.0,110.0,,e8 29 37,,1.8,,,P,2021,,,
51846590,DE,IP-0000585-WBA-1,BMW,BMW AG,BAYERISCHE MOTOREN WERKE AG,,E1*2007/46*1906*06,G8C,DZ41,IAW40900,BMW,840I XDRIVE,M1,M1,1,1990.0,2089.0,,200.0,2822.0,1627.0,1642.0,PETROL,M,2998.0,245.0,,E24 29,,1.2,,,P,2021,2021-11-19,8.7,
53353222,PL,IP-03_312_0241-ZFA-1,STELLANTIS,FIAT GROUP,FCA ITALY SPA,,E3*2007/46*0064*58,312,PXG2B,EP5U2,FIAT,PANDA,M1,M1,1,1207.0,1279.0,,130.0,2300.0,2300.0,2300.0,PETROL,M,875.0,63.0,,,,,,,P,2021,2021-04-07,5.7,
46953725,IT,IP-PQ12ZZZ_A2_0503-WVW-1,VW-SAIC,VOLKSWAGEN,VOLKSWAGEN AG,,E13*2007/46*1167*33,AA,ABEBMA,FA1FA1CZ0020GAVR0N1EVW1B15O,VOLKSWAGEN,UP!,M1,M1,1,1248.0,,0.0,0.0,2417.0,,,ELECTRIC,E,,61.0,127.0,,,,,,P,2021,2021-11-18,,258.0
50972778,DE,IP-09_1951-5YJ-1,TESLA,TESLA,TESLA INC,,E4*2007/46*1293*15,003,E6R,PGB1S5N,TESLA,MODEL 3,M1,M1,1,1825.0,1905.0,0.0,0.0,2875.0,1580.0,1580.0,ELECTRIC,E,,100.0,142.0,,,,,,P,2021,2021-06-15,,
