,0
VerificationFactor,100.0
ManufNameMS,100.0
DeviationFactor,100.0
InnovativeEmissionsReduction,100.0
ElectricRange,84.57330301437575
Co2EmissionsNedc,81.41491260211016
ElectricConsumption,74.85383398668425
InnovativeEmissionsReductionWltp,42.11960882768641
InnovativeTechnology,42.11662686608867
FuelConsumption,23.783538703220035
EngineCapacity,14.161558687763145
Pool,3.3970647401472878
VehicleFamilyIdentification,0.4537982031450773
TypeApprovalNumber,0.45156760194992107
WltpTestMass,0.42824020945110425
Version,0.40662685787067043
AxleWidthOther,0.40357445623519367
AxleWidthSteering,0.4035274962100325
BaseWheel,0.4018956353356814
EnginePower,0.38506046631539786
Variant,0.31226068730927625
Co2EmissionsWltp,0.16063850607011154
Type,0.023409572542848967
CommercialName,0.011575646202231235
Make,0.008053644315142624
MassRunningOrder,8.218004403206759e-05
FuelMode,3.522001887088611e-05
Country,0.0
FuelType,0.0
TotalNewRegistrations,0.0
CategoryOf,0.0
VehicleCategory,0.0
ManufNameOem,0.0
Status,0.0
RegistrationYear,0.0
RegistrationDate,0.0
ManufacturerName,0.0
ID,0.0
